decision,title_1,year_1,tmdbId_1,title_2,year_2,tmdbId_2,genre_sim,tag_sim
KEEP (Different Movie),12 Angry Men (1957),1957.0,389.0,12 Angry Men (1997),1997.0,12219.0,0.5,0.0
KEEP (Different Movie),12 Chairs (1976),1976.0,27934.0,12 Chairs (1971),1971.0,31648.0,1.0,0.0
KEEP (Different Movie),"20,000 Leagues Under the Sea (1954)",1954.0,173.0,"20,000 Leagues Under the Sea (1916)",1916.0,30266.0,0.5,0.0
KEEP (Different Movie),3:10 to Yuma (1957),1957.0,14168.0,3:10 to Yuma (2007),2007.0,5176.0,0.5,0.0
KEEP (Different Movie),About Last Night... (1986),1986.0,18169.0,About Last Night (2014),2014.0,222899.0,0.6666666666666666,0.0
KEEP (Different Movie),"Alamo, The (1960)",1960.0,11209.0,The Alamo (2004),2004.0,10733.0,0.75,0.0
KEEP (Different Movie),Alfie (1966),1966.0,15598.0,Alfie (2004),2004.0,8849.0,1.0,0.0
KEEP (Different Movie),Alice (1990),1990.0,8217.0,Alice (2009),2009.0,61872.0,0.16666666666666666,0.0
KEEP (Different Movie),Alice in Wonderland (1951),1951.0,12092.0,Alice in Wonderland (2010),2010.0,12155.0,0.3333333333333333,0.0
KEEP (Different Movie),Alice in Wonderland (1951),1951.0,12092.0,Alice in Wonderland (1933),1933.0,25694.0,0.6,0.0
KEEP (Different Movie),Alice in Wonderland (2010),2010.0,12155.0,Alice in Wonderland (1933),1933.0,25694.0,0.5,0.0
KEEP (Different Movie),All the King's Men (1949),1949.0,25430.0,All the King's Men (2006),2006.0,1717.0,1.0,0.0
KEEP (Different Movie),"Amityville Horror, The (1979)",1979.0,11449.0,"Amityville Horror, The (2005)",2005.0,10065.0,0.5,0.0
KEEP (Different Movie),Anastasia (1997),1997.0,9444.0,Anastasia (1956),1956.0,38171.0,0.2,0.0
KEEP (Different Movie),Anna Karenina (1935),1935.0,70881.0,Anna Karenina (2012),2012.0,96724.0,0.5,0.0
KEEP (Different Movie),Anna Karenina (1997),1997.0,50512.0,Anna Karenina (1935),1935.0,70881.0,1.0,0.0
KEEP (Different Movie),Anna Karenina (1997),1997.0,50512.0,Anna Karenina (2012),2012.0,96724.0,0.5,0.0
KEEP (Different Movie),Around the World in 80 Days (1956),1956.0,2897.0,Around the World in 80 Days (2004),2004.0,10204.0,0.6666666666666666,0.0
KEEP (Different Movie),"Art of the Steal, The (2009)",2009.0,41999.0,"Art of the Steal, The (2013)",2013.0,209247.0,0.0,0.0
KEEP (Different Movie),Arthur (1981),1981.0,13665.0,Arthur (2011),2011.0,49012.0,0.5,0.0
KEEP (Different Movie),Assault on Precinct 13 (1976),1976.0,17814.0,Assault on Precinct 13 (2005),2005.0,8978.0,0.5,0.0
KEEP (Different Movie),Avalon (1990),1990.0,2302.0,Avalon (2001),2001.0,10881.0,0.3333333333333333,0.0
KEEP (Different Movie),"Avengers, The (1998)",1998.0,9320.0,"Avengers, The (2012)",2012.0,24428.0,0.5,0.0
KEEP (Different Movie),Babes in Toyland (1961),1961.0,32611.0,Babes in Toyland (1934),1934.0,25898.0,0.75,0.0
KEEP (Different Movie),Bad Company (1995),1995.0,40480.0,Bad Company (2002),2002.0,3132.0,0.5,0.0
KEEP (Different Movie),Batman (1989),1989.0,268.0,Batman (1966),1966.0,2661.0,0.2,0.0
KEEP (Different Movie),Beautiful Creatures (2000),2000.0,15940.0,Beautiful Creatures (2013),2013.0,109491.0,0.16666666666666666,0.0
KEEP (Different Movie),Beauty and the Beast (1991),1991.0,10020.0,Beauty and the Beast (2017),2017.0,321612.0,0.3333333333333333,0.0
KEEP (Different Movie),Bedazzled (2000),2000.0,1636.0,Bedazzled (1967),1967.0,18209.0,0.5,0.0
